iter	Passed	Remaining
803	3589	875
804	3594	870
805	3599	866
806	3603	861
807	3609	857
808	3613	853
809	3617	848
810	3621	844
811	3626	839
812	3630	834
813	3633	830
814	3637	825
815	3642	821
816	3646	816
817	3650	812
818	3654	807
819	3659	803
820	3663	798
821	3667	794
822	3671	789
823	3675	785
824	3679	780
825	3683	775
826	3687	771
827	3691	766
828	3695	762
829	3699	757
830	3703	753
831	3707	748
832	3711	744
833	3715	739
834	3719	735
835	3725	730
836	3730	726
837	3734	721
838	3739	717
839	3743	712
840	3747	708
841	3751	703
842	3755	699
843	3759	694
844	3763	690
845	3767	685
846	3772	681
847	3775	676
848	3779	672
849	3783	667
850	3788	663
851	3792	658
852	3796	654
853	3799	649
854	3804	645
855	3808	640
856	3812	636
857	3816	631
858	3821	627
859	3825	622
860	3829	618
861	3832	613
862	3837	609
863	3841	604
864	3845	600
865	3849	595
866	3854	591
867	3858	586
868	3862	582
869	3866	577
870	3870	573
871	3874	568
872	3878	564
873	3882	559
874	3887	555
875	3890	550
876	3894	546
877	3898	541
878	3903	537
879	3907	532
880	3910	528
881	3915	523
882	3920	519
883	3924	514
884	3928	510
885	3932	506
886	3936	501
887	3940	497
888	3944	492
889	3948	488
890	3952	483
891	3956	479
892	3960	474
893	3964	470
894	3968	465
895	3972	461
896	3975	456
897	3980	452
898	3984	447
899	3988	443
900	3992	438
901	3996	434
902	4000	429
903	4004	425
904	4008	420
905	4012	416
906	4016	411
907	4020	407
908	4024	402
909	4028	398
910	4032	393
911	4036	389
912	4040	385
913	4044	380
914	4050	376
915	4054	371
916	4058	367
917	4062	362
918	4066	358
919	4070	353
920	4074	349
921	4079	345
922	4083	340
923	4087	336
924	4091	331
925	4096	327
926	4100	322
927	4104	318
928	4107	313
929	4112	309
930	4116	305
931	4120	300
932	4124	296
933	4128	291
934	4132	287
935	4136	282
936	4140	278
937	4145	274
938	4149	269
939	4153	265
940	4157	260
941	4161	256
942	4165	251
943	4169	247
944	4172	242
945	4177	238
946	4181	234
947	4185	229
948	4189	225
949	4193	220
950	4197	216
951	4201	211
952	4205	207
953	4209	202
954	4214	198
955	4218	194
956	4222	189
957	4227	185
958	4231	180
959	4234	176
960	4238	172
961	4243	167
962	4247	163
963	4251	158
964	4255	154
965	4259	149
966	4263	145
967	4267	141
968	4271	136
969	4276	132
970	4280	127
971	4284	123
972	4288	118
973	4293	114
974	4296	110
975	4300	105
976	4304	101
977	4311	96
978	4315	92
979	4319	88
980	4323	83
981	4327	79
982	4331	74
983	4335	70
984	4339	66
985	4343	61
986	4347	57
987	4351	52
988	4355	48
989	4359	44
990	4363	39
991	4367	35
992	4371	30
993	4375	26
994	4379	22
995	4383	17
996	4387	13
997	4392	8
998	4396	4
999	4399	0
