iter	Passed	Remaining
831	1377	278
832	1379	276
833	1381	275
834	1383	273
835	1386	271
836	1388	270
837	1390	268
838	1392	267
839	1394	265
840	1397	264
841	1399	262
842	1401	260
843	1403	259
844	1405	257
845	1408	256
846	1410	254
847	1412	253
848	1415	251
849	1417	250
850	1419	248
851	1421	246
852	1423	245
853	1425	243
854	1426	241
855	1428	240
856	1429	238
857	1431	236
858	1432	235
859	1434	233
860	1435	231
861	1437	230
862	1438	228
863	1440	226
864	1441	224
865	1443	223
866	1444	221
867	1446	219
868	1447	218
869	1448	216
870	1450	214
871	1451	213
872	1453	211
873	1454	209
874	1456	208
875	1457	206
876	1459	204
877	1460	202
878	1462	201
879	1463	199
880	1465	197
881	1467	196
882	1468	194
883	1470	192
884	1471	191
885	1473	189
886	1474	187
887	1475	186
888	1477	184
889	1478	182
890	1480	181
891	1482	179
892	1483	177
893	1485	176
894	1486	174
895	1487	172
896	1489	171
897	1491	169
898	1492	167
899	1493	165
900	1495	164
901	1496	162
902	1498	160
903	1500	159
904	1502	157
905	1504	156
906	1506	154
907	1507	152
908	1509	151
909	1510	149
910	1512	147
911	1513	146
912	1515	144
913	1517	142
914	1519	141
915	1520	139
916	1522	137
917	1524	136
918	1527	134
919	1529	132
920	1530	131
921	1532	129
922	1533	127
923	1534	126
924	1536	124
925	1538	122
926	1539	121
927	1541	119
928	1542	117
929	1544	116
930	1545	114
931	1547	112
932	1548	111
933	1550	109
934	1551	107
935	1553	106
936	1554	104
937	1556	102
938	1557	101
939	1559	99
940	1561	97
941	1563	96
942	1566	94
943	1568	93
944	1569	91
945	1571	89
946	1572	88
947	1574	86
948	1575	84
949	1577	83
950	1578	81
951	1580	79
952	1581	78
953	1583	76
954	1584	74
955	1586	73
956	1587	71
957	1589	69
958	1591	68
959	1592	66
960	1594	64
961	1595	63
962	1597	61
963	1598	59
964	1600	58
965	1601	56
966	1603	54
967	1604	53
968	1606	51
969	1607	49
970	1609	48
971	1610	46
972	1612	44
973	1613	43
974	1615	41
975	1616	39
976	1618	38
977	1619	36
978	1621	34
979	1622	33
980	1624	31
981	1626	29
982	1627	28
983	1629	26
984	1630	24
985	1632	23
986	1634	21
987	1635	19
988	1636	18
989	1638	16
990	1640	14
991	1642	13
992	1644	11
993	1646	9
994	1647	8
995	1648	6
996	1650	4
997	1651	3
998	1653	1
999	1654	0
