iter	Passed	Remaining
583	26910	6313
584	26955	6266
585	27000	6220
586	27043	6173
587	27088	6127
588	27132	6080
589	27176	6034
590	27222	5988
591	27267	5941
592	27319	5896
593	27373	5852
594	27419	5806
595	27464	5760
596	27510	5714
597	27569	5670
598	27630	5627
599	27676	5581
600	27721	5535
601	27767	5488
602	27812	5442
603	27859	5396
604	27904	5350
605	27947	5303
606	27992	5257
607	28037	5210
608	28082	5164
609	28126	5118
610	28170	5071
611	28215	5025
612	28259	4978
613	28302	4932
614	28346	4885
615	28390	4839
616	28435	4793
617	28480	4746
618	28525	4700
619	28569	4654
620	28622	4609
621	28687	4566
622	28736	4520
623	28782	4474
624	28825	4427
625	28876	4382
626	28919	4335
627	28964	4289
628	29008	4242
629	29053	4196
630	29099	4150
631	29143	4104
632	29187	4057
633	29231	4011
634	29275	3964
635	29320	3918
636	29364	3872
637	29410	3826
638	29455	3779
639	29500	3733
640	29545	3687
641	29591	3641
642	29635	3594
643	29680	3548
644	29747	3505
645	29797	3459
646	29841	3413
647	29884	3366
648	29929	3320
649	29972	3273
650	30016	3227
651	30064	3181
652	30108	3135
653	30152	3088
654	30198	3042
655	30251	2997
656	30295	2951
657	30338	2904
658	30382	2858
659	30427	2812
660	30472	2766
661	30515	2719
662	30560	2673
663	30605	2627
664	30649	2581
665	30694	2534
666	30739	2488
667	30798	2443
668	30857	2398
669	30902	2352
670	30947	2306
671	30992	2259
672	31037	2213
673	31081	2167
674	31128	2121
675	31173	2075
676	31218	2028
677	31264	1982
678	31310	1936
679	31355	1890
680	31400	1844
681	31446	1798
682	31492	1752
683	31539	1706
684	31584	1659
685	31629	1613
686	31675	1567
687	31721	1521
688	31766	1475
689	31812	1429
690	31872	1383
691	31926	1337
692	31974	1291
693	32019	1245
694	32064	1199
695	32108	1153
696	32153	1107
697	32198	1060
698	32241	1014
699	32286	968
700	32330	922
701	32375	876
702	32420	830
703	32465	783
704	32509	737
705	32554	691
706	32603	645
707	32660	599
708	32709	553
709	32756	507
710	32805	461
711	32853	415
712	32915	369
713	32970	323
714	32972	276
715	33024	230
716	33072	184
717	33120	138
718	33167	92
719	33215	46
720	33262	0
